eng_abv,eng_name,eng_desc,valid1,label1,confident1,derived_eng_desc1
MMA341,Research Methodology for Management Mathematics,"An introduction to research methodology, basic research terminology, ethical considerations in research, problem definition, literature reviews, research proposal, instrument construction, data collection, data verification and validation, tools and techniques for analyzing research data, feasibility study, communicating research findings.",1,"04 Business, administration and law",0.8,"Introduces research methodology, data analysis, and communication of findings for management mathematics applications."
AM427,Decision Making,"Applications in statistics distribution, expected value, decision-making theory, decision-making model under certainty and uncertainty, forecasting model, simulation and application.",1,"04 Business, administration and law",0.8,"Focuses on decision-making theory, statistical models, forecasting, and simulation, relevant for business administration."
DSI490,Practical Data Science Project,"Apply data science concepts, including data collection, data preparation, data exploration, analytics model, and data visualization, to design and implement solutions for solving the organization problems and present the solutions to stakeholders.",1,"04 Business, administration and law",0.8,"Applies data science concepts like data collection, analytics, and visualization to solve organizational problems."
DBT345,Innovative Design Project,Applying creative thinking to develop a new design solution which creates added- value that meets the requirements to cope with change in term of product or process that aims to increase competitiveness and productivity for innovative business and industry.,1,"04 Business, administration and law",0.8,Applies creative thinking and design to develop innovative products/processes for business and industry competitiveness.
DX479,Creative Media Capstone Project,Applying state of the art creative media in order to solve real world business and industry problems and present the results to stakeholders.,1,"04 Business, administration and law",0.8,"Applies creative media to solve real-world business and industry problems, presenting results to stakeholders."
DBT315,Platform Design,Basic platform design to create interactions among people in local and regional settings affected by global development trends in order to create the best collaboration among business and organization.,1,"04 Business, administration and law",0.8,Focuses on platform design for fostering collaboration and interactions among businesses and organizations.
IP547,Priciples of Foresight,"Concept and principles of foresight, methods and tools in foresight and futures studies, application of foresight in the public and private sector",1,"04 Business, administration and law",0.8,"Covers principles, methods, and tools of foresight and futures studies for application in public and private sector management."
DES322,Digital Business Experience,Design and development of business-oriented applications. case studies in businesses. the use of digital technology to create new value in business models and customer experiences,1,"04 Business, administration and law",0.8,"Focuses on digital technology for business models, customer experiences, and business-oriented applications."
ICF412,Extension of Community Innovation for Commerce,"Innovations that can be used to promote, can expand community products. Innovation in handicraft industry, innovation in agricultural product, packaging innovation by studying and extending it to be able to use in commercial design. By matching related research or various sciences to suit each community, Focusing on graphics for the community.",1,"04 Business, administration and law",0.8,"Focuses on extending community innovations for commercial use, including handicraft, agricultural products, packaging, and design."
RD454,Urban Environmental Management and Real Estate Development,"Introduces to basic concept and relationship between city and real estate projects, the environmental impacts due to the development of real estate projects towards the city, important role of urban environmental management and the general measures of urban environmental management which involves two important measures; the measures for environmental management and the measures for urban development.",1,"04 Business, administration and law",0.8,"Covers urban environmental management and real estate development, including environmental impacts and urban planning measures."
CB367,Media and Entertainment Industry in China,"Knowledge about the entertainment industry in China—film, television, printing and publishing, music, sports, gaming, and new media.",1,"04 Business, administration and law",0.8,"Explores the media and entertainment industry in China, covering business and economic aspects."
KB230,Korean Communication 3,Korean communicative skills for various work-related contexts at the upper beginner's level in.,1,"04 Business, administration and law",0.8,Develops Korean communicative skills for various work-related contexts.
KB131,Korean Communication 2,Korean communicative skills for work-related contexts at the middle beginner's level.,1,"04 Business, administration and law",0.8,Develops Korean communicative skills for work-related contexts at an intermediate beginner's level.
CMH474,Health Innovation and Entrepreneurship,"The important and role of innovation, process of creating, designing and developing health innovations focusing on sustainable innovation. Health Artificial Intelligence Technology. The concepts and principles of entrepreneurship in identifying problems and designing the solution in the realities and real social conditions with the context of Thailand 4.0.",1,"04 Business, administration and law",0.8,"Focuses on entrepreneurship, innovation, and business principles within the health sector."
AAD314,Funding the Arts,"The roles and significance of art across various dimensions, networking with art supporters, soliciting support from individuals to corporations, foundations, associations, and governments, planning and preparing project documentation for support solicitation, fundraising activities, assessing social returns on investment, and project performance reporting.",1,"04 Business, administration and law",0.8,"Focuses on fundraising, project documentation, and financial aspects for art projects, aligning with business administration."
FA316,Practice in English for Fine and Applied Arts 2,"This subject aims to implement English usage skills with the emphasis on practices directly relevant to the major disciplines, including aspects of business, marketing, and communication.",1,"04 Business, administration and law",0.8,"Focuses on English skills for business, marketing, and communication within fine arts, aligning with business."
ST436,Introduction to Statistical Decision Analysis,Concepts of problem solving process; nonprobabilistic and probabilistic criteria for decision making under uncertainty; Bayes decisions; elementary utility theory; statistical inference in decision theory; sequential decisions; business applications.,1,"04 Business, administration and law",0.85,Introduces statistical decision analysis and its application in business problem-solving and decision-making.
FSD321,Advanced Fashion Design 2,"Design process and planning techniques with an emphasis on complex needs assessment research. Learning planning process, analysis of related information, and planning for exceptionally detailed plan. Learning and practicing product presentation, fashion product management, budget management, collections planning, in order to identify product production pattern and volume under controlled budget and organization's marketing goals. Distribution process will be introduced. Field study is included.",1,"04 Business, administration and law",0.85,"Focuses on advanced fashion design, product management, budget, marketing, and production planning."
JC222,New Media Management,"New media application and management, covering online media, social media, web sites, and other new media channels, to create strategic communication planning that responds to relevant audiences in digital media era",1,"04 Business, administration and law",0.85,"Focuses on managing new media, online platforms, and social media for strategic communication planning in the digital era."
SI353,Risk and Disaster Management,"Risk and disaster concepts, and a basic of procedures, component. Mitigation, preparation, emergency response and damage recovery.",1,"04 Business, administration and law",0.85,"Covers concepts, procedures, mitigation, emergency response, and recovery in risk and disaster management."
SPD314,International Organisations and Human Rights Frameworks,"A study of international organisations concerning human rights, includingintergovernmental bodies under the UN system, ASEAN and other regional and internationalmechanisms; study of international normative and legal frameworks relating to human rightsfocusing on international laws, conventions, and treaties.",1,"04 Business, administration and law",0.9,"Studies international organizations and legal frameworks related to human rights, including international laws and treaties."
SPD447,Social Entrepreneurship and Social Innovation,"A study of social entrepreneurs in different contexts, and an introduction tovaluable tools for creative and sustainable thinking and solutions in addressing social problems.Through engagement with guest lectures and practitioners in social enterprise, students willlearn how social entrepreneurship can be represented as a force for social change, combiningboth theory and practice relating to social impact and social innovation. In consultation with thelecturer and their peers, students will develop an innovative and sustainable social businessplan.",1,"04 Business, administration and law",0.9,"Explores social entrepreneurship and innovation, focusing on developing sustainable social business plans for social change."
BAS424,Organizational Behavior,"A study of the human behavior in a variety of organizations: organizational culture, socialization, individual differences, motivation, leadership, performance improvement, groups and teams, decision making, conflict and negotiation, communications, power and politics, managing change.",1,"04 Business, administration and law",0.9,"Studies human behavior within organizations, covering culture, motivation, leadership, and managing change."
JC220,Fundamentals of Communication Administration,"Administration and communication management principles and techniques; communication and news systems; management and administration case study analyses, specifically on investment, operation, and evaluation",1,"04 Business, administration and law",0.9,"Focuses on administration and management principles for communication systems, including investment and operation."
JA314,Juvenile Justice,"Adolescent deviant behavior, types of delinquency. Juvenile justice system; related laws and rolesof Social Worker in Juvenile Justice System",1,"04 Business, administration and law",0.9,"Focuses on the juvenile justice system, related laws, and the role of social workers within it."
IT374,Air Cargo Business,"Air transport business environments and policy, the rules and regulations, internationalconventions, traffic rights, government roles in air transport business, and deregulation of air transportservice. Study also includes the overview and trend of the air cargo industry, the cost structure, airfreight pricing, and air cargo marketing.",1,"04 Business, administration and law",0.9,"Covers air transport business, policy, regulations, marketing, and pricing, aligning with business administration."
IA454,Project Management and Cost Estimation,"An introduction to business in interior architectural practice. Project and construction management, cost estimation, fee structure and negotiation, services and basic business plans are included.",1,"04 Business, administration and law",0.9,"Covers project and construction management, cost estimation, and business practices within an architectural context."
BS201,Writing for the International Workplace,An introduction to genre conventions and processes for composing business documents for international readers.,1,"04 Business, administration and law",0.9,Focuses on composing business documents and genre conventions for international workplace communication.
JC457,Moral Reasoning : Today's Challenge in Corporate Communication Practice,"Analyses on corporate communication processes in socially, culturally, and environmentally sensitive issues that could affect corporate's overall relationships with its stakeholders; analytical practices using eastern and western philosophical concepts, communication concepts, and ethical framework of corporate communicator to minimize communication risks and be able to handle sensitive issues with creative solutions and as a responsible corporate citizen",1,"04 Business, administration and law",0.9,Analyzes moral reasoning and ethical frameworks within corporate communication practices and stakeholder relationships.
PCD531,Special Topics for Social Enterprise 1,Analysis and synthesis of specific issues or knowledge related to social enterprise in an area of interest as agreed by the student and advisor.,1,"04 Business, administration and law",0.9,"Focuses on social enterprise, combining business principles with social objectives."
PCD532,Special Topics for Social Enterprise 1,Analysis and synthesis of specific issues or knowledge related to social enterprise in an area of interest as agreed by the student and advisor.,1,"04 Business, administration and law",0.9,"Focuses on social enterprise, combining business principles with social objectives."
PCD541,Special Topics for Volunteer Management 1,Analysis and synthesis of specific issues or knowledge related to volunteer management in an area of interest as agreed by the student and advisor.,1,"04 Business, administration and law",0.9,"Focuses on volunteer management, an administrative function within organizations."
PCD542,Special Topics for Volunteer Management 1,Analysis and synthesis of specific issues or knowledge related to volunteer management in an area of interest as agreed by the student and advisor.,1,"04 Business, administration and law",0.9,"Focuses on volunteer management, an administrative function within organizations."
AC442,Seminar in Information Systems Audit and Control,"Analysis, discussions and researches to create in-depth knowledge and understanding in principles and concepts of auditing and control per COBIT, the effect of technological development on audit and control, at the corporate level, departmental level and other related systems, evaluation of internal control effectiveness, audit techniques, the use of audit software and the preparation of the audit report.",1,"04 Business, administration and law",0.9,"Focuses on auditing and control principles for information systems, including COBIT, audit techniques, and software."
DSI324,Practical Data Governance Project,"Applying technology, techniques and skills to govern data for enterprise. Practices using a case study of Data Governance in an Intelligence initiative.",1,"04 Business, administration and law",0.9,Applies technology and techniques for data governance within an enterprise and intelligence initiatives.
PO347,Project Evaluation,"Approaches to project evaluation and information feedback; evaluation principles, methods and processes; project evaluation formats; use of tools and methods to measure project results; carrying out project evaluation; result evaluation and different environmental aspects.",1,"04 Business, administration and law",0.9,"Covers approaches, principles, methods, and tools for project evaluation, including environmental aspects."
JC466,Advertising Production Process and techniques,"Basic backgrounds, concepts, processes of advertising campaign in pre-production, production, and post-production stages for diverse media platforms including television, radio, print and online media; roles and responsibilities of advertising producers or project managers in coordinating, budgeting and scheduling, for each production project to reach advertising objectives; roles and responsibilities of professional producers or project managers with ethics.",1,"04 Business, administration and law",0.9,"Focuses on advertising campaign processes, production, project management, budgeting, and media platforms."
HP341,Business and Entrepreneurship in health promotion,Basic concept of business; business system; business process; model of business; concept and guideline of how to be an entrepreneur and to create social enterprise in health promotion,1,"04 Business, administration and law",0.9,"Covers business concepts, entrepreneurship, business systems, and social enterprise in health promotion."
EB266,Digital Marketing Communication,Basic concepts and principles of digital communication; types of digital media; channels of digital communication; process of presentation through digital media; planning for strategic digital marketing; application of digital media for marketing goals.,1,"04 Business, administration and law",0.9,"Focuses on digital marketing communication, digital media, strategic planning, and marketing goals."
RT377,Business Location Allocation Model Analyses and Network Analysis for Logistics,"Basic concepts of business location - allocation model analysis. Spatial Multicriteria Decision Analysis, evaluation criteria, Criterion Weighting. The analyzed of suitability area for business. The application of Geographic Information System for business location - allocation model and network analyses management for Logistics, field trips.",1,"04 Business, administration and law",0.9,"Focuses on business location models, spatial decision analysis, and logistics management, aligning with business administration."
RU242,Learning and Human Resources Development in Russia,"Basic concepts of human resources development and lifelong learning in Russia; management of educational institutions, libraries, theaters, museums, and organizations; design and development of learning programs for human resources development.",1,"04 Business, administration and law",0.9,"Focuses on human resources development, lifelong learning, and management of various organizations, aligning with business administration."
GE335,Logistics and Business Site Selection,Basic concepts of logistics management; graph theory and transportation models; retail location theories and business location decision; application of geographic information systems for logistics management and business site selection.,1,"04 Business, administration and law",0.9,"Covers logistics management, business site selection, and transportation models, aligning with business administration."
ASC256,Management Information System in Insurance Business,"Basic concepts of management; elements of management information system; roles and responsibilities of information system; management of database systems and information; application of management information system for managing in insurance business, e.g. actuary's work, insurance operations, risk management.",1,"04 Business, administration and law",0.9,"Covers management information systems and their application in insurance business operations and risk management, aligning with business administration."
FN471,Econometrics for Finance,"Basic econometrics including linear regression, time-series model, volatility model, event studies, etc. is employed to estimate the relationship of financial variables, to forecast financial variables, or to test financial theories with real data in financial markets.",1,"04 Business, administration and law",0.9,"Applies econometrics, regression, and time-series models to financial variables and theories in financial markets."
BAS351,Management Optimization and Prescriptive Analytics,"Basic operations research models and their applications. Linear programming. Simplex method. Duality and sensitivity analysis. Transportation model. Nonlinear programming. Non-linear optimization. Game theory, and Queuing models. Application of Prescriptive Analytics in Business.",1,"04 Business, administration and law",0.9,"Teaches operations research models, optimization techniques, and prescriptive analytics for business management."
CHE329,Carbon management for business and industry,"Basic principle of supply chain management. Carbon footprint analysis. Carbon reduction management such as voluntary emission reduction program, carbon capture and storage.",1,"04 Business, administration and law",0.9,"Teaches carbon management, carbon footprint analysis, and reduction strategies for business and industry."
ST347,Mathematics of Life Insurance 1,"Basic principles of actuarial science; survival distributions and life tables; life annuities, net single premium and net level premium for life insurance and life annuity contracts; gross premium; net level premium reserves.",1,"04 Business, administration and law",0.9,"Introduces actuarial science principles, survival distributions, life insurance premiums, and reserves."
AAD211,Introduction to Arts Administration,"Basic principles of arts administration, the impact of arts management on fostering aesthetics, education, economy, and culture. Field studies will be conducted.",1,"04 Business, administration and law",0.9,"Introduces arts administration principles, focusing on management's impact on aesthetics, education, economy, and culture."
IE408,Lean and Six Sigma,Basic theories of Lean and Six Sigma. Type of Waste and Analyses. Lean and Six Sigma Techniques. Leand and Six Sigma Methodologies for process improvement.,1,"04 Business, administration and law",0.9,"Focuses on Lean and Six Sigma methodologies for process improvement and waste analysis, key concepts in business and operations management."
IES303,Engineering Management and Cost Analysis (For Non-Industrial Engineering and Smart Logistics Students),"Broad view of management system (in both its classical and modern aspects). Structures and functions of interrelated departments. Inventory management. Quality assurance. Project management. Basic concepts and applications of an economic evaluation of engineering projects. Interest formulas, time value of money, economic decision making involving several alternatives. This course is not intended for industrial engineering students.",1,"04 Business, administration and law",0.9,"Covers management systems, project management, quality assurance, and economic evaluation for engineering projects."
IE417,Data Design and Optimisation for Business Operations,Business Performance Modelling & Decision Analysis. Decision Networks. Descriptive and Mathematical Models. Business Applications via Markov Chain Models. Decision Supporting Dynamic Programming Models.,1,"04 Business, administration and law",0.9,"Applies mathematical and descriptive models for business performance modeling, decision analysis, and optimization."
AT381,Market Management and Agribusiness,"Business and marketing plan, organization, marketing administration and management of agro-market, purchasing, price fixation of agricultural products, competition and roles of intermediary in marketing, advance market, agricultural auction market, logistic and exporting, field trips.",1,"04 Business, administration and law",0.9,"Focuses on business and market management, marketing, and logistics for agricultural products."
DX453,Advanced Digital Technology Seminar,"Case studies for the State of the Art Digital Technology for Transformation that focus on enhancing user experience, improving internal process, and modifying business model. How digital forces are reshaping five key domains of strategy: customers, competition, data, innovation, and value in various industries.",1,"04 Business, administration and law",0.9,"Explores digital technology for business transformation, focusing on strategy, business models, and customer experience."
JC455,Corporate and Change Communication,Change factors and contexts that result in corporate changes; changing processes and impact on corporate and its stakeholders; ability to analyze and effectively integrate change communication concepts and strategies so that both internal and external stakeholders acceptably embrace the changes.,1,"04 Business, administration and law",0.9,"Focuses on corporate change communication, strategies, and managing stakeholder acceptance of changes."
SI331,Startup Business in Tourism Industry,"Characteristics of startups, success and failure factors of startups, design thinking process, preliminary idea evaluation, business idea evaluation, case studies of startups and Thai business in the global market, preparation of business information, and pitching presentation.",1,"04 Business, administration and law",0.9,"Covers startup business principles, success factors, and idea evaluation within the tourism industry, fitting business and administration."
DSI211,Marketing in Data Science Era,"Concept of conventional marketing techniques and marketing evolution, marketing in data science era, relationship between marketing concepts and data science, big data management for marketing application, and data science tools for data-driven marketing.",1,"04 Business, administration and law",0.9,"Explores conventional and data-driven marketing techniques, big data management, and data science tools for marketing applications."
HIM304,Strategic Management for Cultural Heritage and Creative Industries,"Concepts and development of organization management, principles, and processes of strategic management, including identifying vision and mission, analyzing external and internal environment, strategy formulation, implementation, and evaluation to create competitive advantages that are applied to cultural heritage and creative industries.",1,"04 Business, administration and law",0.9,"Covers strategic management principles and processes for organizations, applied to cultural heritage and creative industries for competitive advantage."
SO416,Consumer Behavior Research,Concepts and processes of consumer behavior research. Role of research in planning and decision-making in marketing. Sociological and anthropological knowledge applied to consumer behavior.,1,"04 Business, administration and law",0.9,"Focuses on consumer behavior research for marketing, applying sociological and anthropological knowledge."
EB467,Communication in Cooperate Image Building and Personal Branding,Concepts and theories of communication relating to corporate image building and personal branding; application of image building; factors contributing to brand image building; creating an original identity as an individual or business organization through marketing and storytelling strategies to elevate credibility and influence public perception in the media.,1,"04 Business, administration and law",0.9,"Focuses on communication strategies for corporate image building and personal branding, utilizing marketing and storytelling."
Al315,Accounting Information System and Internal Controls,"Concepts of accounting information system, analysis and design of information system for various cycles, according to coso and focusing on related risks and how to mitigate the risks.",1,"04 Business, administration and law",0.9,"Focuses on accounting information systems, their analysis, design, and internal controls to mitigate related risks."
DES429,Accounting Information Systems,"Concepts of accounting information systems, business models, business processes and transactions; computerization in processing, and reporting; typical business documents and reports and proper system documentation; the fundamental of systems security and controls, Information systems audit.",1,"04 Business, administration and law",0.9,"Covers accounting information systems, business processes, computerization, system security, controls, and information systems audit."
HIM303,Project Management for Cultural Heritage and Creative Industries,"Concepts of cultural projects; applying instruments of project management systematically and holistically to conduct and implement cultural projects; analyze data, plan and develop cultural activities which are accord with social-cultural contexts and stakeholders, project estimation, including change management and evaluatation.",1,"04 Business, administration and law",0.9,"Focuses on project management principles and instruments applied to cultural projects, activities, and cultural heritage."
CS351,Business Computing and Electronic Commerce,"Concepts of information systems in business management, business application software, business processes over computer networks, electronic commerce infrastructures, computing and data exchange standards.",1,"04 Business, administration and law",0.9,"Focuses on information systems, computing, and electronic commerce within a business management context."
HR212,"Communication, Persuasive and Negotiation Skills","Concepts of managerial communications, communication process, interpersonalcommunication, communication in groups, organizational communication, conflict management andnegotiation concepts, strategies and models of conflict management and negotiation, and techniquesof presentation, persuasion, and negotiation, using technology in communication.",1,"04 Business, administration and law",0.9,"Focuses on managerial, organizational communication, conflict management, and negotiation skills, relevant to business administration."
PO349,Intergovernmental Relations and Network Governance,"Conceptual frameworks and empirical translation into practices on intergovernmental relations are the main structure public administrative system operates in response to emerging public issues, and the focus through which public policy and services are made and delivered. Contemporary public administrators build critical linkages across organizational boundaries while simultaneously managing the internal functions of their agencies. Therefore, understanding of the historical, societal, and political foundations of intergovernmental relations is foundation to the design of effective network governance. The study includes intergovernmental relations in policy process, fiscal relations between government bodies, limitations and challenges in intergovernmental relations, comparative framework and practices, and future positions of intergovernmental relations.",1,"04 Business, administration and law",0.9,"Explores intergovernmental relations, network governance, public administrative systems, public policy, and fiscal relations between government bodies."
CIS106,Leadership and Influence,"Create leadership for major change. Develop abilities to lead and influence through collaboration, coalition building, thinking strategically and conflict.",1,"04 Business, administration and law",0.9,"Develops leadership and influence skills for strategic change, collaboration, and conflict management in organizational contexts."
HIM499,Selected Topics in Management of Cultural Heritage and Creative Industries,Current topics to analyze and develop knowledge bodies for management of cultural heritage and creative industries.,1,"04 Business, administration and law",0.9,"Analyzes and develops knowledge for management of cultural heritage and creative industries, emphasizing administration."
PB126,Health Marketing,"Definition, concept, conventional marketing theory, business marketing, integration of marketing concept and preventive strategy, health promotion and protection of the population using basic Science knowledge and adhere to consumer centered concept, communication, health information dissemination, evidence-based products advertisement that has no adverse effects to consumers.",1,"04 Business, administration and law",0.9,"Covers marketing theory, business marketing, and health promotion strategies, focusing on consumer-centered health communication."
GE327,Geographical Indications and Local Development,"Definitions, processes, and factors related to Geographical Indications (Gls); the protection of Gls in Thailand and aboard; links between local development plans and Geographical Indications products; Geographical Indications products and innovation development; sustainability in the production of Geographical Indication products.",1,"04 Business, administration and law",0.9,"Explores Geographical Indications (GIs), their protection, links to local development, innovation, and sustainable production."
FIN332,Food Innovation Product Development Project,Design of Lean Canvas business model. Product Development with Lean Startups. Food Laws and Food Standards. Risk management. Proposals preparation and business ideas presentation. Branding. Marketing and Finance Planning. Preparation for commercialization of the production process,1,"04 Business, administration and law",0.9,"Focuses on food product development, business models, marketing, finance, and commercialization."
CID377,Design for Community Enterprise,"Design related to community enterprises and community-based businesses focused on product manufacturing and service provision to generate income within the community in a systematic and creative manner. Theoretical approaches to design for community enterprises are analyzed through case studies, with applications to achieve results in a manner that aligns with the creative economy. The design process can be applied in collaboration with external organizations, both public and private, in no less than 100%, to contribute to the evaluation of the course. The study takes the form of a project-based learning approach.",1,"04 Business, administration and law",0.9,"Focuses on design for community enterprises, product manufacturing, service provision, and income generation."
EL226,English for Global Business,"Development and practice of English listening and speaking skills related to global business regarding international trade issues, import and export, financial businesses, terms and regulations related to e-commerce, and copyright and intellectual property laws. Practice of English reading and writing skills related to international finance and business documents through presentations and feedback in simulation scenarios.",1,"04 Business, administration and law",0.9,"Developing English skills for global business, international trade, finance, and business documents."
EL202,English for Work,"Development of English speaking and writing skills essential for job application. Practice of language, vocabulary and expressions used in different work-related contexts. Study of the format and the English language conventions of business correspondence, memorandums, agendas and minutes.",1,"04 Business, administration and law",0.9,Developing English speaking and writing skills for job applications and business correspondence.
JB487,Practical Japanese for Administration Purposes,"Development of Japanese language skills for management, administration, note-taking, document preparation, and collaboration between individuals or organizations.",1,"04 Business, administration and law",0.9,"Developing practical Japanese language skills for management, administration, and document preparation."
HIM397,Brand Product for Management of Cultural Heritage and Creative Industries,"Development of brand for cultural product would focus on the study of definitions, importance, management principles of brand for cultural product, identities, visions, cores, positioning and personality of brand for cultural product, audience analysis, effective techniques and strategies for development of brand for cultural product in order for the brand to be recognized, remembered and won customer loyalty, as well as to conduct integrated communication to create sustainable values for brand for cultural product.",1,"04 Business, administration and law",0.9,"Focuses on brand development, management principles, and strategies for cultural products and creative industries."
EL300,English Skill Development for Careers 2,"Development of communicative English for multinational organizations focusing on advanced professional language skills. Emphasis on internal and external organizational problem-solving skills. Organization-based communication through the writing of memorandum and minutes, and the production of international public relations materials.",1,"04 Business, administration and law",0.9,"Develops advanced professional English communication skills for multinational organizations, including public relations and problem-solving."
RT290,Systematic and Creative Thinking for Sustainable Development,"Development of thinking process, critical thinking, systematic thinking process, applied knowledge, parallel thinking, synthesis thinking, creative thinking, applied knowledge and thinking towards sustainable development innovation, usage and significant of intellectual property, intellectual property management, research and draft of patents.",1,"04 Business, administration and law",0.9,"Develops systematic and creative thinking for sustainable development innovation, intellectual property management, and patents."
DX451,Digital Transformation Strategy,Digital Capability. Digital Leadership Capability. Digital-Enhanced User Experience. Internal Process Improvement. Business Model Transformation. Digital Change Management. Digital Engagement. Digital Skill Creation. Digital Platform.,1,"04 Business, administration and law",0.9,"Focuses on digital transformation strategies, business model changes, and leadership, aligning with business administration."
BAS361,Digital Transformation and Robotic Process Automation,"Digital Transformation Strategies. Process and production innovation. Business model innovation. Leadership and people management. Platform Strategies. Digital Supply Chain. Implementing digital technologies. Business process perspectives: process management, process modeling, analysis, and design. Business process management framework. BPM implementation strategies. Business process architecture. Basics of Robotic Process Automation (RPA): RPA implementation plan, automated business processes, challenges, and risks of RPA implementation.",1,"04 Business, administration and law",0.9,"Covers digital transformation strategies, RPA, and business process management, fitting business administration."
LO443,Supply Chain Modeling,"Discrete event simulation modeling, decision support in logistics and supply chainmanagement model building, simulation output analysis, communication of technical information andconclusions drawn from data analysis.",1,"04 Business, administration and law",0.9,"Covers supply chain modeling, simulation, logistics, and decision support, aligning with business administration."
SI335,Digital Tourism Business Management,"Entrepreneurship concept, market opportunity analysis, for-profit and non-profit business management, environmental assessment, choosing the right business/brand for market competition, writing a business plan, creating image and business goal, business negotiation, marketing strategy, technology skills and media selection for advertisement, brand identity presentation, creating business connection, and laws for entrepreneurship in the digital age.",1,"04 Business, administration and law",0.9,"Focuses on digital tourism business management, entrepreneurship, marketing, and business planning."
CMM124,Entrepreneurial Competencies Development in Healthcare Professionals,"Entrepreneurship in general, How to become entrepreneur, Ethics of the entrepreneurship, Identifying and exploiting opportunities, Decision making, Strategic thinking, Taking and managing risk, Different types of companies and organizations in the healthcare sector, Establishment of the company (business idea and plan) and the running of a company, Marketing, Production and work quality, Legislation, Customer orientation, Financial management, Networking, Knowledgeable of Legal Regulations",1,"04 Business, administration and law",0.9,"Focuses on entrepreneurship, business planning, marketing, financial management, and legal regulations in healthcare."
HIM399,Innovation of Fashion Management in Digital Era,"Evolution of textiles and fashion, role of fashion as production, business model, design, merchandising, distribution, branding and marketing, and fashion as everyday consumption, consumers demand and aesthetic in digital era",1,"04 Business, administration and law",0.9,"Covers fashion management, business models, marketing, and design in the digital era."
SI502,Field Visits,"Focus on establishing learning experience and recognizing the importance of careers through field visiting, by comprehending policies, management, mission, organizational culture, roles, organizational and human operations system, organizational communications, brand images, organization development and human resources development guidelines, as well as studying the problems and operating environments in the organization. Private organizations, NGOs, international organizations, volunteer organizations, community organizations and other organizations based on student's interests.",1,"04 Business, administration and law",0.9,"Focuses on learning about organizational management, culture, operations, and human resources through field visits."
CS342,Digital Marketing Technology and Analytics,"Foundations of digital marketing technology, types of marketing/ad technologies, fundamentals of measuring results and KPIs for marketing plans, digital marketing plan, marketing analysis using machine learning techniques.",1,"04 Business, administration and law",0.9,"Focuses on digital marketing strategies, technologies, and analytics, which are core business administration functions."
IS318,Financial and Accounting Information Systems for Enterprise Resource Planning,"Fundamental concept of ERP system, funding information systems, business processes such as revenue, expense and production. In addition, risks associated with business processes and security and control related to mitigate those risks. This course also introduces fundamentally practical experience on how to configure core functions of ERP systems for medium enterprise and fundamentally analyse data on ERP using rapidminer.",1,"04 Business, administration and law",0.9,"Focuses on financial and accounting information systems (ERP) for business processes, aligning with business administration."
JC322,Communication Management of Public Opinion and Campaign,Fundamental concepts on communication management and public opinion and campaign; communication planning; strategic communication mobilization to effectively and efficiently achieve organization's goals.,1,"04 Business, administration and law",0.9,"Focuses on communication management, public opinion, and strategic communication for organizational goals."
BAS419,Warehouse Operations Management,"Fundamental operations in warehouse management, including roles of warehousing and warehouse technology, such as bar codes, radio frequency identification (RFID) for inventory control system, modern warehouse operations, classifying products, materials handling equipment and systems, racking and shelving, aisle width decision, information technology for warehouse operations, health and safety issues.",1,"04 Business, administration and law",0.9,"Focuses on fundamental warehouse operations management, technology, inventory control, and logistics."
SI212,Technology and Innovation for Business,"Illustrate the advance technology and innovation that can apply to the product and service development. The course will concentrate on how to apply new technology for business agenda such as Al, Blockchain, Data Science, Metaverse. In the meantime, the course will unveil the potential and infrastructure of countries in GMS and China in order to clarify the development scheme.",1,"04 Business, administration and law",0.9,"Applies advanced technologies like AI, Blockchain, and Data Science for business product and service development."
ASC331,Mathematics for Casualty Insurance,Importance of insurance; insurance coverage; ratemaking data; basic techniques for ratemaking; individual risk rating; risk classification; Estimating claim liabilities; loss data; development triangles; Chain-Ladder technique; expected claim technique; Bornhuetter-Ferguson technique; interpretation of generalized linear model output.,1,"04 Business, administration and law",0.9,"Applies mathematical and statistical techniques to casualty insurance for ratemaking, risk classification, and claim liability."
BI271,Business Communication in German 3,"In this course students will learn and practice using vocabulary and business-specific idioms, in addition to studying and understanding business structures and study through reading business related documents via new media.",1,"04 Business, administration and law",0.9,"Focuses on business communication in German, including vocabulary, idioms, and business structures."
